Table 1
SCAN #	NAME	LINK	NOTES	
76	Rembrandt, Presentation in Temple	https://www.mauritshuis.nl/en/our-collection/artworks/145-simeon-s-song-of-praise/		
76	Paul Potter, Bull	https://www.mauritshuis.nl/en/our-collection/artworks/136-the-bull/		
76	Vermeer, water and houses	https://www.mauritshuis.nl/en/our-collection/artworks/92-view-of-delft/		
79	Rembrandt, Night Watch	https://www.rijksmuseum.nl/en/collection/SK-C-5		
79	Rembrandt, Old Woman	https://www.rijksmuseum.nl/en/collection/RP-P-1961-1193		
79	Rembrandt, Night Watch	https://www.rijksmuseum.nl/en/collection/SK-C-5		
79	Rembrandt, Syndics	https://www.rijksmuseum.nl/en/collection/SK-C-6		
80	Vermeer, Woman pouring	https://www.rijksmuseum.nl/en/collection/SK-A-2344		
80	Vermeer, Little street	https://www.rijksmuseum.nl/en/collection/SK-A-2860		
89	Rubens, portrait	https://commons.wikimedia.org/wiki/File:Herzog_Anton_Ulrich-Museum,_Peter_Paul_Rubens,_Bildnis_des_Marchese_Ambrogio_Spinola.jpg		
90	Stein, Wedding-Contract	https://www.pubhist.com/w3962		
90	Rembrandt, Landscape	https://rkd.nl/en/explore/images/67966		
91	Rembrandt, Christ and Magdalen	https://rkd.nl/en/explore/images/52810		
91	Rembrandt, Hugo Grotius	https://rkd.nl/en/explore/images/32012		
91	Rembrandt, Hugo Grotius' wife	https://rkd.nl/en/explore/images/32016		
92	Vermeer Landscape	https://commons.wikimedia.org/wiki/File:Vermeer_van_Haarlem_D%C3%BCnen@Herzog_Anton_Ulrich_Museum_%281%29.JPG		
100	Giorgione, Venus	https://skd-online-collection.skd.museum/Details/Index/294844		
100	Veronese			
100	Dosso, St George	https://skd-online-collection.skd.museum/Details/Index/269373		
100	Garofalo, Mars and Venus 	https://skd-online-collection.skd.museum/Details/Index/291813		
100	Lotto, Madonna	https://skd-online-collection.skd.museum/Details/Index/339392		
100	Ercole de Roberti 	https://skd-online-collection.skd.museum/Home/Index?page=1&q=ercole%20roberti		
100	Francia, Adoration	https://skd-online-collection.skd.museum/Details/Index/291091		
100	Dossi B, Dream	https://skd-online-collection.skd.museum/Details/Index/269246		
100	Dosso B, Justice	https://skd-online-collection.skd.museum/Details/Index/269135		
100	Titian, Portrait of a Mn	https://skd-online-collection.skd.museum/Details/Index/409980	See Notebook already scanned	
100	Palma, Jacob and Rachel	https://skd-online-collection.skd.museum/Details/Index/365205		
100	Palma, St. Conversation	https://skd-online-collection.skd.museum/Details/Index/365228		
100	Cossa, Annunciation	https://skd-online-collection.skd.museum/Details/Index/365228		
				
				
				
				
				
				
				
VENEZIA				
124	San Zaccaria (Bellini)	https://www.wikidata.org/wiki/Q2269343	See Churches and smaller Galleries in Venice and the Veneto, 1891-1900. 22A5	
124	Santa Maria Formosa (Palma)	https://www.wikidata.org/wiki/Q109767795	See Churches and smaller Galleries in Venice and the Veneto, 1891-1900. 22A6	
124	San Giovannie e Paolo (Lombardi)	https://it.m.wikipedia.org/wiki/File:Interior_of_Santi_Giovanni_e_Paolo_%28Venice%29_-_Monumento_del_doge_Pietro_Mocenigo_-_Pietro_Lombardo.jpg	See Churches and smaller Galleries in Venice and the Veneto, 1891-1900. 22A7	
			See Churches and smaller Galleries in Venice and the Veneto, 1891-1900. 22A8	
			See Churches and smaller Galleries in Venice and the Veneto, 1891-1900. 22A9	
133	Chiesa del Carmine, Lotto	https://www.wikidata.org/wiki/Q3947723	See Churches and smaller Galleries in Venice and the Veneto, 1891-1900. 22A10	
133	chiesa del Carmine, Savoldo	https://www.wikidata.org/wiki/Q3605553	See Churches and smaller Galleries in Venice and the Veneto, 1891-1900. 22A11	
138	Titian St. Christopher	https://www.wikidata.org/wiki/Q3946910	See Churches and smaller Galleries in Venice and the Veneto, 1891-1900. 22A12	
				
PADUA				
				
147	Montagnana (Duomo )  Buonconsiglio	https://arte.cini.it/Opere/163645		
148	Padova S. Giusina, Paolo	https://www.wikidata.org/wiki/Q15974345		
152	Castelfranco Giorgione Madonna	https://www.wikidata.org/wiki/Q1720631		
TREVISO				
155	San Niccolo, Savoldo	https://commons.wikimedia.org/wiki/File:Savoldo_-_Madonna_con_il_Bambino_in_trono_e_santi,_Chiesa_di_San_Nicol%C3%B2,_Treviso.jpg		
155	Duomo Tiziano Annunciazione	https://www.wikidata.org/wiki/Q3618192		
155	Duomo Pordenone affreschi	https://upload.wikimedia.org/wikipedia/commons/7/7c/Duomo_%28Treviso%29_-_interior_-_Cappella_Malchiostro_Adorazione_dei_Magi_-_Pordenone.jpg		
156	S. Critina al Tiverone, Lotto	https://www.wikidata.org/wiki/Q3889267		
UDINE				
157	Pordenone 			
				
				
VIENNA				
160	Tiziano Galleria	https://www.khm.at/en/objectdb/?query=all_persons%3ATiziano%20Vecellio%2C%20gen.%20Tizian		
	Lichtenstein Museum  Hals	https://gallerix.org/fullpic/83d488445f53b34c40813282a7917af4/		
161	Czernin Gall Vermeer	https://www.wikidata.org/wiki/Q588695		
				
165bis	Vienna Kunsthistor. Girgione Philosophers	https://www.khm.at/en/objectdb/detail/823/		
165bis	Giorgione Hampton Court	https://www.wikidata.org/wiki/Q2897084		
165bis	vienna Kunsthistor. Tiziano Ecce Homo	https://www.khm.at/en/objectdb/detail/1944/		
165bis	Vienna Kunsthistor. Correggio Ganymede	https://www.wikidata.org/wiki/Q118521146		
167	Vienna Kunsthistor. Bassano Adorazione 	https://www.khm.at/en/objectdb/detail/148/?lv=detail		
