Page #,Citation,Entry,Type,Wikidata ID,Notes,Annotator,Paragraph #,Start,End
407,,Lotto Intarsias,art,Q3981182,,ERW,14,11,20
415,,Iphegenie in Tauris,art,Q475063,Iphigenia in Tauris,ERW,10,42,51
409,,Islach,art,N/A, La Reclame,ERW,8,8,14
98,,"Jacob and Rachel, Palma",art,Q50322185,,ERW,11,0,5
88,,Christ and the Magdalene,art,Q21487137,at Brunswick,ERW,1,269,274
89,,Judith and Fortezza,art,Q57728663,Brunswick,ERW,11,43,49
357,,Judith,art,Q2247406,Uffizi,ERW,1,25,31
98,,"Justice, Dosso",art,N/A,by Dosso Dossi,ERW,9,0,7
424,,Goldoni’s La Famiglia dell’Antiquario. ,art,Q3208618,Venice,ERW,9,91,102
409,,La Reclame,art,N/A,Paris wooden sculpture,ERW,8,35,45
191,,Le Barbre de Seville,art,Q632743,,ERW,7,51,71
98,,Mars and Venus,art,Q50322584,Il Garofalo,ERW,4,9,14
402,,Moses,art,Q1989744,Michalangelo's,ERW,9,64,69
232,,Frescos by Bronzino. the drowning Pharaoh’s army in the Red Sea,art,Q1404331,Crossing of the Red Sea,ERW,2,299,306
135,," S. Giovanni Elimosinario (Pordenone, Titian)",art,Q1543347,wikiID for the church where the art located,ERW,6,53,62
158,,Pordenone’s frescoes in the cloister of S. Stefano,art,Q974832,wikiID for the church where the art located,ERW,2,395,404
159,,Pordenone in the Duomo,art,Q51149,treviso. wikiID for the church where the art located,ERW,5,16,25
89,,Primavera,art,Q549847,,ERW,10,0,9
177,,Primavera,art,Q549847,,ERW,13,215,224
388,,Primavera,art,Q549847,,ERW,5,108,117
98,,Jacob and Rachel,art,Q50322185,,ERW,11,10,16
167,,the St. Sebastian,art,Q29230893,wiki-ID for copy,ERW,3,451,468
281,,the Vale of Tears,art,Q104468176,,ERW,6,57,74
282,,the Vale of Tears,art,Q104468176,,ERW,2,57,74
398,,the Vatican Sculptures,art,Q8723850,,ERW,10,16,38
130,,Tintorettos,art,Q5996597,at Doges Palace,ERW,2,43,71
98,,Venus,art,Q119950219,Sleeping Venus Giorgione,ERW,2,93,98
