Page #,context,Entry,Type,Wikidata ID,Notes,Hollis Permalink,Worldcat,Annotator
73,Read Vol. V of Journal de J. Goncourtcvat breakfast. ,Vol. V of Journal de J. Goncourt,art,Q19176092,,,,IT
107,Read Faust all the way.,Faust,art,Q29478,,https://id.lib.harvard.edu/alma/990032497590203941/catalog,,IT
110,I read Faust all the way.,Faust,art,Q29478,,https://id.lib.harvard.edu/alma/990032497590203941/catalog,,IT
114,"Then came back, and while I read Faust, B. wrote a few pages about the Augustan marbles, which I criticised savagely before going to dinner.",Faust,art,Q29478,,https://id.lib.harvard.edu/alma/990032497590203941/catalog,,IT
120,I read Prescott’s Ferdinand and Isabella,Ferdinand and Isabella,art,Q42191112,,https://id.lib.harvard.edu/alma/990034881100203941/catalog,,IT
119,I read Mrs. Green’s Henry II.,Henry II,art,,,https://id.lib.harvard.edu/alma/990109266610203941/catalog,https://www.worldcat.org/title/917209000,IT
128,"We read Villiers de l’Isle Adam, Nouveaux Contes Cruels",Nouveaux Contes Cruels,art,Q21015232,,https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_bnf_primary_oai_bnf_fr_gallica_ark_12148_bpt6k851969c,,EW
134,Read Contes Cruels and Symonds and Howells on Venice.,Contes Cruels,art,,,https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_bnf_primary_oai_bnf_fr_gallica_ark_12148_bpt6k851969c,,
140,Read Venetian Studies by Horatio Brown,Venetian Studies,art,,https://id.lib.harvard.edu/alma/990028125970203941/catalog,https://worldcat.org/en/title/6408179,IT
142,I read Barbey d’Aurevilly’s Les Diaboliques.,Les Diaboliques,art,Q3232089,,http://id.lib.harvard.edu/alma/990109189730203941/catalog,,IT
141,Came home and read Venetian Studies.,Venetian Studies,art,,,https://id.lib.harvard.edu/alma/990028125970203941/catalog,https://worldcat.org/en/title/6408179,IT
160, and Flaubert’s Trois Contes.,Trois Contes,art,,,https://id.lib.harvard.edu/alma/990029662680203941/catalog,https://worldcat.org/en/title/2537887,IT
163,Read Macbeth.,Macbeth,Q130283,art,,https://id.lib.harvard.edu/alma/990016133910203941/catalog,,IT
165,Began (both) La femme 〈au〉 [de] XVIII siècle (Goncourt).,La femme 〈au〉 [de] XVIII siècle,art,,,https://id.lib.harvard.edu/alma/990109334650203941/catalog,https://worldcat.org/en/title/27360636,IT
177,"Ruskin’s Ariadne Fiorentina, a book",Ariadne Fiorentina,art,Q179126,wikidata id for Ruskin,"https://hollis.harvard.edu/primo-explore/search?query=lsr01,contains,990035588220203941&tab=everything&search_scope=everything&vid=HVD2&lang=en_US&mode=basic&offset=0",,EW
177,"Began Burckhardt, La Civilisation en Italie au temps de la Renaissance.",La Civilisation en Italie au temps de la Renaissance,art,Q1839282,,https://id.lib.harvard.edu/alma/990109482810203941/catalog,,IT
183,We read Candide,Candide,art,Q215894,,"https://hollis.harvard.edu/primo-explore/search?query=lsr01,contains,990109349250203941&tab=everything&search_scope=everything&vid=HVD2&lang=en_US&mode=basic&offset=0",,EW
191,"He did not come to dinner, and I read Vol. I of Yriarte’s César Borgia.",Vol. I of Yriarte’s César Borgia,art,Q1066528,,https://id.lib.harvard.edu/alma/990045838770203941/catalog,,IT
197,Read the second volume of César Borgia by Yriarte,second volume of César Borgia,art,Q1066528,wikidata id for Yriarte,https://id.lib.harvard.edu/alma/990045838770203941/catalog,,EW
197,"Greek Literature by Perry, and ever ",Greek Literature,art,,,https://id.lib.harvard.edu/alma/990015183280203941/catalog,https://worldcat.org/en/title/2943272,IT
214,"I read Agnes Grey, and Baudelaire’s Poèmes en Prose.",Poèmes en Prose,art,Q108000062,,http://id.lib.harvard.edu/alma/990109350830203941/catalog,,IT
221,B. read Creighton’s History of the Papacy,History of the Papacy,art,,MB/BB,http://id.lib.harvard.edu/alma/990109401340203941/catalog,https://worldcat.org/en/title/315507455,IT
228,I am reading Hawthorne’s Wonder Book to Ray.,Wonder Book,art,Q4660769,Read to Ray Strachey,https://id.lib.harvard.edu/alma/990030915500203941/catalog,,IT
