Page #,Entry,Type,Wikidata ID,Notes,Annotator,WKT
73,S. Jacques,location,Q456130,,IT,Point(4.306962 52.077436)
74,S. Jacques,location,Q456130,,IT,Point(4.306962 52.077436)
77,Kalverstraat,location,Q748443,,IT,Point(4.891111 52.369722)
81,〈Hanover〉,location,Q1715,,IT,Point(9.738611111 52.374444444)
81,Hanover 8.50,location,Q1715,,IT,Point(9.738611111 52.374444444)
95,Costa in,location,Q3725701,,IT,
97,Pötscha,location,Q383386,Potschappe,ERW,Point(13.661747222 51.013322222)
97,Pötscha,location,Q383386,Potschappe,ERW,Point(13.661747222 51.013322222)
97,Rathen,location,Q8224,,ERW,Point(14.083333333 50.95)
98,Mars,location,,,ERW,
99,Danube,location,Q1653,,IT,Point(8.154888888 48.095111111)
104,Danube,location,Q1653,,IT,Point(8.154888888 48.095111111)
104,Walhalla,location,,,ERW,
105,Danube,location,Q1653,,IT,Point(8.154888888 48.095111111)
105,Walhalla,location,,,ERW,
107,Francia,location,Q260057,,IT,
107,Pinacothek,location,Q154568,Munich,ERW,Point(11.569985 48.148291)
107,Sodoma,location,,,ERW,
111,Pinacothek,location,Q154568,Munich,ERW,Point(11.569985 48.148291)
112,Florentine,location,Q2044,,IT,Point(11.254166666 43.771388888)
117,Montagnas,location,Q34605,,ERW,Point(11.4657779 45.2333207)
120,S. Maria in Organo,location,Q1052661,,ERW,Point(11.002777777 45.446944444)
121,La Madonna della Campagna,location,Q3669329,Verona,ERW,Point(11.05104692 45.43045072)
121,Santa Maria del Organo,location,Q1052661,,ERW,Point(11.002777777 45.446944444)
123,S. Eufemia,location,Q3672797,Verona,ERW,Point(10.993477777 45.443166666)
125,Lido,location,,,ERW,
126,Lido,location,,,ERW,
126,S. Maria Mater Domini,location,Q520477,Venice,ERW,Point(12.33027778 45.43972222)
128,Burano,location,Q52439,,IT,Point(12.4175 45.485555555)
128,Burano,location,Q52439,,IT,Point(12.4175 45.485555555)
128,S. Giorgio Maggiore,location,Q126327,Venice,ERW,Point(12.344168 45.427752)
128,Torcello,location,Q52441,,ERW,Point(12.418333333 45.498333333)
129,Lido,location,,,ERW,
129,S. Giovanni Crisostomo,location,Q915746,Venice,ERW,Point(12.337222222 45.439166666)
129,Santa Maria in Orto,location,Q861436,Madonna dell'Orto,ERW,Point(12.332472222 45.446336111)
130,Lido,location,,,ERW,
130,S. Francesco della Vigna,location,Q946542,Venice,ERW,Point(12.3486 45.4381)
131,Lido,location,,,ERW,
131,S. Barnabà,location,Q2356961,Venice,ERW,Point(12.3254 45.4331)
131,S. Giovanni e Paolo,location,Q155225,Venice,ERW,Point(12.342397222 45.439216666)
133,Lido,location,,,ERW,
