,Page #,Entry,Type,Wikidata ID,Notes,Annotator,Visited place,BB visited place,Unnamed: 8
3408,73.0,Rubens,person,Q5599,,IT,,,
1742,73.0,Flemings,person,,Cannot find,IT,,,
88,73.0,Augusta Webster,person,Q4820995,,IT,,,
2811,73.0,Mary,person,Q6779039,,IT,,,
3410,73.0,Rubens,person,Q5999,,IT,,,
358,73.0,Bernhard,person,Q359047,,IT,,,
2740,73.0,Maeterlingk,person,Q49747,,IT,,,
3948,74.0,von Delft,person,Q41264,,IT,,,
2896,74.0,Mersu,person,Q355213,,IT,,,
3411,74.0,Rubens,person,Q5599,,IT,,,
13,74.0,A. Brauwer,person,Q364139,,IT,,,
3346,74.0,Rembrandt,person,Q5598,,IT,,,
3193,74.0,Paul Potter,person,Q355406,,IT,,,
1825,74.0,Franz Hals,person,Q167654,,IT,,,
3722,74.0,Steengracht,person,Q96175994,,IT,,,
3090,75.0,Motley,person,Q689281,,IT,,,
3885,75.0,Van Meer van Delft,person,Q41264,,IT,,,
3154,75.0,P.P.,person,Q355407,,IT,,,
3153,75.0,P.P.,person,Q355406,,IT,,,
2142,75.0,Hokusai,person,Q5586,,IT,,,
3194,75.0,Paul Potter,person,Q355408,,IT,,,
2738,75.0,Maeterlinck,person,Q49747,,IT,,,
3092,76.0,Motley,person,Q689281,,IT,,,
3093,76.0,Motley,person,Q689281,,IT,,,
3886,76.0,Vanmeer,person,Q41264,,IT,,,
2038,76.0,Goncourt,person,Q622283,,IT,,,
3091,76.0,Motley,person,Q689281,,IT,,,
3095,77.0,Motley,person,Q689281,,IT,,,
3096,77.0,Motley,person,Q689281,,IT,,,
3869,77.0,Van du Helst,person,Q380704,,IT,,,
3871,77.0,Van du Helst,person,Q380705,,IT,,,
3873,77.0,Van du Meer,person,Q41264,,IT,,,
2277,77.0,Jan Steen,person,Q205863,,IT,,,
3875,77.0,Van du Meer,person,Q41264,,IT,,,
214,77.0,B.B.,person,Q359047,,IT,,,
1827,77.0,Franz Hals,person,Q167654,,IT,,,
