Page #	Entry	Type	Wikidata ID	Notes	Annotator	Visited place	BB visited place	
252	 Parry	person	Q15997634		ERW			
298	〈Diderot’s	person	Q448		IT			
375	〈Ibsen	person	Q36661		IT			
298	〈Potapenko	person	Q2638032		IT			
220	〉 Calza	person	Q4776488		IT			
310	〉 Carmini	person	Q2780025		IT			
320	〉 da Foligno	person	Q970559		IT			
73	S. Jacques	location	Q456130		IT	TRUE	FALSE	
73	the Catholic Church	organization	Q1841		IT			
369	a Benedetto Diana!	person	Q40823		IT			
136	a Jules Verne	person	Q33977		IT			
192	a Lorenzo Monaco	person	Q155376		IT			
404	a Vittorio Crivelli	person	Q1349738		IT			
74	A. Brauwer	person	Q364139		IT			
166	A.L. Burd	person	Q16824961		IT			
74	S. Jacques	location	Q456130		IT	TRUE	FALSE	
166	Acton	person	Q311778		IT			
424	Afternoon S. Caterina	person	Q3585408		IT			
200	Agnolo	person	Q7803		IT			
201	Agnolo	person	Q333369		IT			
75	Maleine	play	Q7244689	not in other annotation tabs	IT			
403	Albano	person	Q849448		IT			
122	Alberti	person	Q182046		IT			
409	Alcazar	person	Q2832100		IT			
200	Alessandro	person	Q333369		IT			
201	Alessandro  Bronzino	person	Q333370		IT			
76	Church	organization	Q678611		IT			
438	Alfred Benn	person	Q4648505		ERW			
216	Alinari	person	Q644689		IT			
217	Alinari	person	Q644689		IT			
224	Alinari	person	Q644689		IT			
343	Alinari	person	Q644689		IT			
217	Alys	person	Q4738704		IT			
228	Alys	person	Q4738704		IT			
228	Alys	person	Q4738704		IT			
228	Alys	person	Q4738704		IT			
77	Kalverstraat	location	Q748443		IT	TRUE	FALSE	
228	Alys	person	Q4738704		IT			
228	Alys	person	Q4738704		IT			
229	Alys	person	Q4738704		IT			
229	Alys	person	Q4738704		IT			
229	Alys	person	Q4738704		IT			
229	Alys	person	Q4738704		IT			
229	Alys	person	Q4738704		IT			
288	Alys	person	Q4738704		IT			
360	Alys	person	Q4738704		IT			
361	Alys	person	Q4738704		IT			
78	Krasnapolski	organization	Q1213720		IT			
301	Alzano	person	Q18453956		IT			
78	Scoorel	organization	Q282708		IT			
437	Amanda Head	person	N/A		ERW			
218	an Andrea del Sarto	person	Q5571		IT			
79	Borghese	organization	Q841506		IT			
79	Borghese	organization	Q841506		IT			
219	an Andrea del Sarto	person	Q5571		IT			
298	an Antonio Vivarini	person	Q935534		IT			
298	an Antonio Vivarini	person	Q935534		IT			
79	de Goncourt	organization	Q622283		IT			
139	André Chevrillon	person	Q2847528		IT			
258	Andrea	person	Q5571		IT			
258	Andrea	person	Q5571		IT			
201	Andrea del Castagna	person	Q240737		IT			
166	Andrea del Sarto	person	Q5571		IT			
166	Andrea del Sarto	person	Q5571		IT			
79	the Rijks Museum	organization			ERW			
79	the Rijks Museum	organization			ERW			
395	Andrea della Robbia	person	Q195655		IT			
396	Andrea della Robbia	person	Q195655		IT			
324	Andrea Sansovino	person	Q495011		IT			
324	Andrea Sansovino	person	Q495011		IT			
220	Andreas	person	Q5681		IT			
437	Andrews	person	Q90184944		IT			
303	Antonello	person	Q5594		IT			
81	〈Hanover〉	location	Q1715		IT	TRUE	TRUE	
323	Antonio di Sangallo	person	Q456861		IT			
81	Fodor Museum	organization	Q18378399		IT			
324	Antonio di Sangallo	person	Q456861		IT			
91	Antonio Vivarini	person	Q935534		IT			
418	Aquila Nera	person		Hotel, no wikidata	IT			
322	Arcevia	person	Q123540		IT			
81	Hanover 8.50	location	Q1715		IT	TRUE	TRUE	
297	Arford	person		Her solicitor	IT			
302	Arford	person		Her solicitor	IT			
81	Meissonier	organization			ERW			
232	Arnold	person		Child	IT			
437	Arthur S. Strong	person	Q16856876	S. Arthur Strong	ERW			
159	Attila	person	Q36724		IT			
160	Attila	person	Q36724		IT			
73	Augusta Webster	person	Q4820995		IT			
400	Augustus	person	Q1405		IT			
367	Aunty Lill	person		Cannot find	IT			
78	B.	person	Q359047		IT			
79	B.	person	Q359047		IT			
96	B.	person	Q359047		IT			
97	B.	person	Q359047		IT			
108	B.	person	Q359047		IT			
109	B.	person	Q359047		IT			
82	Henry the Lion	organization	Q105378		IT			
110	B.	person	Q359047		IT			
114	B.	person	Q359047		IT			
82	Matilda	organization			ERW			
82	Renaissance	organization	Q4692		ERW			
82	Schloss	organization			ERW			
82	Theater	organization	Q21037178	in Brunswick	ERW			
116	B.	person	Q359047		IT			
117	B.	person	Q359047		IT			
120	B.	person	Q359047		IT			
120	B.	person	Q359047		IT			
83	parfois	organization			ERW			
83	sauf de très	organization			ERW			
121	B.	person	Q359047		IT			
126	B.	person	Q359047		IT			
126	B.	person	Q359047		IT			
134	B.	person	Q359047		IT			
87	Wedding-Contract	organization			ERW			
88	Christ and the Magdalene	art	Q21487137	at Brunswick	ERW			
135	B.	person	Q359047		IT			
136	B.	person	Q359047		IT			
138	B.	person	Q359047		IT			
138	B.	person	Q359047		IT			
139	B.	person	Q359047		IT			
141	B.	person	Q359047		IT			
88	Wedding-Contract	organization			ERW			
141	B.	person	Q359047		IT			
141	B.	person	Q359047		IT			
141	B.	person	Q359047		IT			
142	B.	person	Q359047		IT			
162	B.	person	Q359047		IT			
168	B.	person	Q359047		IT			
89	Judith and Fortezza	art	Q57728663	Brunswick	ERW			
168	B.	person	Q359047		IT			
169	B.	person	Q359047		IT			
176	B.	person	Q359047		IT			
178	B.	person	Q359047		IT			
180	B.	person	Q359047		IT			
181	B.	person	Q359047		IT			
182	B.	person	Q359047		IT			
89	Mercury	organization			ERW			
182	B.	person	Q359047		IT			
184	B.	person	Q359047		IT			
89	Primavera	art	Q549847		ERW			
184	B.	person	Q359047		IT			
186	B.	person	Q359047		IT			
186	B.	person	Q359047		IT			
187	B.	person	Q359047		IT			
188	B.	person	Q359047		IT			
188	B.	person	Q359047		IT			
