"Page No.","Diary Page","Entity No.","Authority Name",Entity (Value),Entity Type,"Note 1 Descriptor","Note 2 Context","Note 3 Relationship to Mary",Related Quotes,quotes,Related Footnotes,footnotes,Notes / Questions,DIsambiguation URL 1,DIsambiguation URL 2,DIsambiguation URL 3,
1,[0 005],1,Mary Berenson,Mary Whitall Berenson,person,,diary entry header,self,,,,,,https://en.wikipedia.org/wiki/Mary_Berenson,,,
1,[0 005],2,Villa I Tatti,I Tatti,location,accomodation,diary header,,,,,,,https://en.wikipedia.org/wiki/Villa_I_Tatti,,,
1,[0 005],3,,Settignano,location,region,diary header,,,,,,,,,,
1,[0 005],4,,Florence,location,city,diary header,,,,,,,,,,
1,[0 005],5,,Trip to America,event,biographic,diary header,,,,,,,,,,
1,[0 005],6,,September 1930,date,,diary header,,,,,,,,,,
1,[1 006],7,,R. M. S. Majestic,location,accomodation,diary entry header,,,,,,,,,,
1,[1 006],8,,White Star,organization / group,business,diary entry header,,,,,,,,,,
1,[1 006],9,,"Wednesday, Sept. 30, 1903",date,,diary entry header,,,,,,,,,,
1,[1 006],10,,[fear / indecision / unknown],sentiment,,experiences,,"""Off at last, after so many fears and indecisions. We were like people standing naked by a cold bath, afraid to plunge in. Now we have plunged. We are off to the Unknown.""","""Off at last, after so many fears and indecisions. We were like people standing naked by a cold bath, afraid to plunge in. Now we have plunged. We are off to the Unknown.""",,,,,,,
1,[1 006],11,,Liverpool,location,city,in proximity of,,,,,,,,,,
1,[1 006],12,J. M. W. Turner,Turner,person,artist-painter,mentions,,,,,,,,,,
1,[1 006],13,James Abbott McNeill Whistler,Whistler,person,artist-painter,mentions,,,,,,,,,,
1,[1 006],14,,England,location,country,in proximity of,,,,,,,,,,
1,[1 006],15,Bernard Berenson,Bernhard,person,,mentions,family-immediate,,,,,,,,,
1,[2 007],16,,The Reef,location,accomodation,diary entry header,,,,,,,,,,
1,[2 007],17,,"Newport, R.I.",location,city,diary entry header,,,,,,,,,,
1,[2 007],18,,"Thursday, Oct. 8, 1903",date,,diary entry header,,,,,,,,,,
1,[2 007],19,,[boredom / ennui / malaise],sentiment,,experiences,,"There is nothing to say about the voyage, except that it was a Bore. We had, I think, seasickness rentré.","There is nothing to say about the voyage, except that it was a Bore. We had, I think, seasickness rentré.",,,,,,,
