page,text,p,start,end,type,description,wikidata,viaf,loc,notes
0252,Motley,1,18,24,PERSON,"People, including fictional",,,,
0252,Dante,2,0,5,PERSON,"People, including fictional",,,,
0252,Oliphant,3,5,13,PERSON,"People, including fictional",,,,
0252,Keats,4,8,13,PERSON,"People, including fictional",,,,
0252,Arthur,5,10,16,PERSON,"People, including fictional",,,,
0252,Mark Twain,5,26,36,PERSON,"People, including fictional",,,,
0252,Björnson,6,14,22,PERSON,"People, including fictional",,,,
0252,Sidney,7,0,6,PERSON,"People, including fictional",,,,
0252,Margaret Deland,7,8,23,PERSON,"People, including fictional",,,,
0252,Nobody of Nowhere,8,5,22,PERSON,"People, including fictional",,,,
0252,Gunter,8,24,30,PERSON,"People, including fictional",,,,
0252,The Aspern Papers,9,0,17,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0252,James,9,19,24,PERSON,"People, including fictional",,,,
0252,Sandra Belloni,10,0,14,PERSON,"People, including fictional",,,,
0252,G. Meredith,10,16,27,PERSON,"People, including fictional",,,,
0252,One,11,0,3,CARDINAL,Numerals that do not fall under another type,,,,
0252,Shorthouse,13,25,35,GPE,"Countries, cities, states",,,,
0252,Russian,15,0,7,NORP,Nationalities or religious or political groups,,,,
0252,Stepniak,15,19,27,GPE,"Countries, cities, states",,,,
0252,Jessop,16,28,34,GPE,"Countries, cities, states",,,,
0252,C. Burnett,17,18,28,PERSON,"People, including fictional",,,,
0252,French,18,13,19,NORP,Nationalities or religious or political groups,,,,
0252,Gallagher,19,0,9,PERSON,"People, including fictional",,,,
0252,Davis,19,29,34,PERSON,"People, including fictional",,,,
0252,"Hotel d’Angleterre, etc. Falconer",20,0,33,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0252,Haggard Lang,21,21,33,PERSON,"People, including fictional",,,,
0252,di Vernon Lee,24,1,14,PERSON,"People, including fictional",,,,
0252,Molesworth,25,27,37,GPE,"Countries, cities, states",,,,
0252,Sunny Stories,26,0,13,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0252,J. Payne,26,15,23,PERSON,"People, including fictional",,,,
0252,3,27,0,1,CARDINAL,Numerals that do not fall under another type,,,,
0252,Frank Stockton,27,5,19,PERSON,"People, including fictional",,,,
0252,Physiologie de l’amour moderne,28,0,30,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0252,Bourget,28,34,41,PERSON,"People, including fictional",,,,
0252,B.,29,11,13,PERSON,"People, including fictional",,,,
0252,Daudet,30,24,30,GPE,"Countries, cities, states",,,,
0252,Middlemarch,31,0,11,PERSON,"People, including fictional",,,,
0252,Several,33,0,7,CARDINAL,Numerals that do not fall under another type,,,,
0252,Tolstoi,33,11,18,PERSON,"People, including fictional",,,,
0252,Paroles sincères,35,0,16,PERSON,"People, including fictional",,,,
0252,Coppée,35,18,24,GPE,"Countries, cities, states",,,,
0252,La Parisienne au point de vue de l’amour,37,0,40,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0252,Zed,37,42,45,PERSON,"People, including fictional",,,,
0252,Sarah Jewett,38,0,12,PERSON,"People, including fictional",,,,
0252,Roman d’un Infant,40,0,17,PERSON,"People, including fictional",,,,
0252,"Carmen Sylva,",42,0,13,PERSON,"People, including fictional",,,,
0252,French,44,35,41,LANGUAGE,Any named language,,,,
0252,English,44,46,53,LANGUAGE,Any named language,,,,
0252,"Sunday, April 10, 1892",45,0,22,DATE,Absolute or relative dates or periods,,,,
0252,Florence,45,24,32,GPE,"Countries, cities, states",,,,
0252,Pitti,46,0,5,PERSON,"People, including fictional",,,,
0252,morning,46,13,20,TIME,Times smaller than a day,,,,
0252,Bernhard,46,22,30,PERSON,"People, including fictional",,,,
0252,Emma,46,57,61,PERSON,"People, including fictional",,,,
0252,Karin,46,101,106,PERSON,"People, including fictional",,,,
0252,Parry,47,0,5,PERSON,"People, including fictional",,,,
0252,B.’s,47,21,25,ORG,"Companies, agencies, institutions, etc.",,,,
0252,Edith Kendall,48,0,13,PERSON,"People, including fictional",,,,
0252,Women’s Rights,48,83,97,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0252,one,48,111,114,CARDINAL,Numerals that do not fall under another type,,,,
0252,the Renaissance,48,250,265,DATE,Absolute or relative dates or periods,,,,
0252,B.,49,0,2,PERSON,"People, including fictional",,,,
0252,Loeser,49,13,19,PERSON,"People, including fictional",,,,
