page,text,p,start,end,type,description
070,"Tuesday, February 16, 1915",2,0,26,DATE,Absolute or relative dates or periods
070,Geoffrey Scott,4,0,14,PERSON,"People, including fictional"
070,Placci’s,7,28,36,FAC,"Buildings, airports, highways, bridges, etc."
070,Lucien Henraux’s,7,87,103,PERSON,"People, including fictional"
070,Lucien,7,158,164,PERSON,"People, including fictional"
070,Salvemini,7,200,209,PERSON,"People, including fictional"
070,the Marchesa Benzoni,7,214,234,PERSON,"People, including fictional"
070,Cabinet,7,288,295,ORG,"Companies, agencies, institutions, etc."
070,Martini,7,305,312,PERSON,"People, including fictional"
070,Italy,7,319,324,GPE,"Countries, cities, states"
