page,text,p,start,end,type,description,wikidata,viaf,loc,notes
050,"Saturday, February 12, 1916",2,0,27,DATE,Absolute or relative dates or periods,,,,
050,Ray’s,2,29,34,ORG,"Companies, agencies, institutions, etc.",,,,
050,London,2,36,42,GPE,"Countries, cities, states",,,,
050,Alys,3,2,6,PERSON,"People, including fictional",,,,
050,8:35,3,19,23,TIME,Times smaller than a day,,,,
050,Euston,3,29,35,GPE,"Countries, cities, states",,,,
050,N.Y.,3,53,57,GPE,"Countries, cities, states",,,,
050,second,3,58,64,ORDINAL,"""first"", ""second"", etc.",,,,
050,second,3,76,82,ORDINAL,"""first"", ""second"", etc.",,,,
050,Eliza,4,2,7,PERSON,"People, including fictional",,,,
050,2.2,4,76,79,MONEY,"Monetary values, including unit",,,,
050,Karin,5,15,20,PERSON,"People, including fictional",,,,
050,Strong,6,17,23,PERSON,"People, including fictional",,,,
050,Ray,7,12,15,PERSON,"People, including fictional",,,,
050,Vanessa,7,41,48,PERSON,"People, including fictional",,,,
050,MacLagans,8,6,15,PERSON,"People, including fictional",,,,
