page,text,p,start,end,type,description
025,"Sunday, January 1, 1922",2,0,23,DATE,Absolute or relative dates or periods
025,Cairo,2,25,30,GPE,"Countries, cities, states"
025,Simaika Pasha,5,0,13,PERSON,"People, including fictional"
025,9.30,5,31,35,TIME,Times smaller than a day
025,(Labouchere) Mackintosh,5,46,69,PERSON,"People, including fictional"
025,Jerusalem,5,134,143,GPE,"Countries, cities, states"
025,Coptic Museum,5,178,191,ORG,"Companies, agencies, institutions, etc."
025,2 hours,5,208,215,TIME,Times smaller than a day
025,Roman,5,304,309,NORP,Nationalities or religious or political groups
025,Storrs,6,11,17,PERSON,"People, including fictional"
025,Pasha,6,27,32,PERSON,"People, including fictional"
025,Copts,6,57,62,NORP,Nationalities or religious or political groups
025,Tank,6,153,157,FAC,"Buildings, airports, highways, bridges, etc."
025,Copts,6,179,184,NORP,Nationalities or religious or political groups
025,3,6,215,216,CARDINAL,Numerals that do not fall under another type
025,2 hrs,6,233,238,TIME,Times smaller than a day
025,Franciscans,6,285,296,NORP,Nationalities or religious or political groups
025,Copts,6,424,429,NORP,Nationalities or religious or political groups
025,Catholic,6,497,505,NORP,Nationalities or religious or political groups
025,Amr,7,43,46,GPE,"Countries, cities, states"
025,Eliza,8,10,15,PERSON,"People, including fictional"
026,"Monday, January 2, 1922",2,0,23,DATE,Absolute or relative dates or periods
026,Shepheard’s Hotel,2,25,42,ORG,"Companies, agencies, institutions, etc."
026,Cairo,2,44,49,GPE,"Countries, cities, states"
026,Storrs,5,0,6,PERSON,"People, including fictional"
026,9.30,5,24,28,TIME,Times smaller than a day
026,Bazaars,5,48,55,FAC,"Buildings, airports, highways, bridges, etc."
026,Jack Cohen,5,124,134,PERSON,"People, including fictional"
026,Dimitri,5,138,145,PERSON,"People, including fictional"
026,Bonté Elgood,6,0,12,PERSON,"People, including fictional"
026,Devonshire,6,84,94,PERSON,"People, including fictional"
026,the Palace of Bestat,6,102,122,WORK_OF_ART,"Titles of books, songs, etc."
026,Qaitbay,7,19,26,GPE,"Countries, cities, states"
026,Cairi Bek,7,37,46,GPE,"Countries, cities, states"
026,4,7,108,109,CARDINAL,Numerals that do not fall under another type
026,Palace,7,208,214,FAC,"Buildings, airports, highways, bridges, etc."
026,one,7,228,231,CARDINAL,Numerals that do not fall under another type
026,BB,7,281,283,PERSON,"People, including fictional"
026,D.,7,294,296,PERSON,"People, including fictional"
026,Bonté,7,318,323,PERSON,"People, including fictional"
026,Eliza,7,352,357,PERSON,"People, including fictional"
026,the Cheziral Hospital,7,361,382,ORG,"Companies, agencies, institutions, etc."
026,Anglo,7,384,389,NORP,Nationalities or religious or political groups
026,4th,7,513,516,ORDINAL,"""first"", ""second"", etc."
026,Russell,7,580,587,PERSON,"People, including fictional"
026,BB,7,649,651,PERSON,"People, including fictional"
026,halfway,8,20,27,CARDINAL,Numerals that do not fall under another type
026,Bazil,8,55,60,PERSON,"People, including fictional"
027,"Tuesday, January 3, 1922",2,0,24,DATE,Absolute or relative dates or periods
027,Nicky,5,0,5,PERSON,"People, including fictional"
027,5.30 a.m,5,17,25,TIME,Times smaller than a day
027,B.B.,5,42,46,PERSON,"People, including fictional"
027,Museum,5,65,71,ORG,"Companies, agencies, institutions, etc."
027,the French Institute,5,84,104,ORG,"Companies, agencies, institutions, etc."
027,Storrs,5,118,124,GPE,"Countries, cities, states"
027,Nicky,5,148,153,PERSON,"People, including fictional"
027,B.B.,6,5,9,PERSON,"People, including fictional"
027,Allenby,6,29,36,PERSON,"People, including fictional"
027,de Cramer,6,53,62,PERSON,"People, including fictional"
027,Mackintoshes,7,46,58,PERSON,"People, including fictional"
027,Elgoods,7,60,67,PERSON,"People, including fictional"
027,Sérionnes,7,69,78,PERSON,"People, including fictional"
027,Russells,7,80,88,PERSON,"People, including fictional"
027,Storrs,7,90,96,PERSON,"People, including fictional"
027,Creswell,7,98,106,PERSON,"People, including fictional"
027,Foucart,7,113,120,PERSON,"People, including fictional"
027,Kaven,8,8,13,PERSON,"People, including fictional"
028,"Wednesday, January 4, 1922",2,0,26,DATE,Absolute or relative dates or periods
028,B.B.,5,0,4,PERSON,"People, including fictional"
028,Nicky,5,9,14,PERSON,"People, including fictional"
028,Devonshire,5,43,53,PERSON,"People, including fictional"
028,the morning,5,57,68,TIME,Times smaller than a day
028,the afternoon,5,129,142,TIME,Times smaller than a day
028,Patricolo,5,144,153,PERSON,"People, including fictional"
028,de Cramer,5,163,172,PERSON,"People, including fictional"
028,Adamoli,5,174,181,PERSON,"People, including fictional"
028,Bach,5,223,227,PERSON,"People, including fictional"
029,"Thursday, January 5, 1922",2,0,25,DATE,Absolute or relative dates or periods
029,B.B.,5,0,4,PERSON,"People, including fictional"
029,Nicky,5,9,14,PERSON,"People, including fictional"
