paragraph,text,min,max,label,description
1,1930,0,4,DATE,Absolute or relative dates or periods
5,"Monday, September 30,1930",0,25,DATE,Absolute or relative dates or periods
6,Lanier,5,11,PERSON,"People, including fictional"
6,Jim,36,39,PERSON,"People, including fictional"
6,Paul Frerejean,68,82,PERSON,"People, including fictional"
6,Dame,96,100,PERSON,"People, including fictional"
6,Blücher-Altona,111,125,ORG,"Companies, agencies, institutions, etc."
6,Lanier,139,145,PERSON,"People, including fictional"
6,Provence,257,265,GPE,"Countries, cities, states"
6,Les Beaux,271,280,GPE,"Countries, cities, states"
6,Frerejean,330,339,PERSON,"People, including fictional"
7,Dame,10,14,PERSON,"People, including fictional"
8,Edith Wharton,6,19,PERSON,"People, including fictional"
8,Gilliard Lapsley,24,40,PERSON,"People, including fictional"
8,Salsomaggiore,63,76,GPE,"Countries, cities, states"
8,two,83,86,CARDINAL,Numerals that do not fall under another type
8,Pekinese,87,95,NORP,Nationalities or religious or political groups
