text,p,start,end,type,description
1930,1,0,4,DATE,Absolute or relative dates or periods
"Wednesday, November 5,1930",2,0,26,DATE,Absolute or relative dates or periods
Hermann,3,14,21,PERSON,"People, including fictional"
a Freulein Fülterer,3,84,103,PERSON,"People, including fictional"
Gagini,3,134,140,PERSON,"People, including fictional"
John Walker,3,149,160,PERSON,"People, including fictional"
Eugene Williams,3,177,192,PERSON,"People, including fictional"
BB,3,246,248,PERSON,"People, including fictional"
Lucy Donelly,3,262,274,PERSON,"People, including fictional"
Edith Frick,3,279,290,PERSON,"People, including fictional"
2 or 3 nights,3,319,332,DATE,Absolute or relative dates or periods
"Thursday, November 6,1930",4,0,25,DATE,Absolute or relative dates or periods
Lucy,5,0,4,PERSON,"People, including fictional"
Edith staying-,5,9,23,PERSON,"People, including fictional"
Vavalà,5,24,30,PERSON,"People, including fictional"
Walker,5,35,41,PERSON,"People, including fictional"
Waterfield,5,56,66,PERSON,"People, including fictional"
Cecil Pinsent,5,71,84,PERSON,"People, including fictional"
"Friday, November 7,1930",6,0,23,DATE,Absolute or relative dates or periods
Julia Marlowe) Sothern,7,13,35,PERSON,"People, including fictional"
"Saturday, November 8,1930",8,0,25,DATE,Absolute or relative dates or periods
Lucy,9,0,4,PERSON,"People, including fictional"
Edith Frick,9,9,20,PERSON,"People, including fictional"
Walker,9,27,33,PERSON,"People, including fictional"
Eugene Williams,9,49,64,PERSON,"People, including fictional"
Guadagni,9,95,103,PERSON,"People, including fictional"
Naima,9,110,115,PERSON,"People, including fictional"
"Sunday, November 9,193",10,0,22,DATE,Absolute or relative dates or periods
Naima,11,11,16,PERSON,"People, including fictional"
